love,26/06/2015,10/04/2015,27/03/2015,24/02/2015,11/11/2014,17/10/2014,09/09/2014,,,
Apple,17/06/2015,27/03/2015,09/03/2015,17/02/2015,16/12/2014,01/12/2014,09/09/2014,15/08/2014,05/08/2014,16/07/2014
great day,09/09/2014,09/09/2014,,,,,,,,
great,15/04/2015,24/02/2015,19/09/2014,12/08/2014,,,,,,
amazing,02/03/2015,09/01/2015,09/09/2014,05/08/2014,,,,,,
Steve,24/02/2015,,,,,,,,,
"""The only way to do great work is to love what you do.""",24/02/2015,,,,,,,,,
Indiana,27/03/2015,,,,,,,,,
disappointed,27/03/2015,,,,,,,,,
http://t.co/0YD0gZ7jvm,24/02/2015,,,,,,,,,
Gov.,27/03/2015,,,,,,,,,
Special Event,04/09/2014,04/09/2014,,,,,,,,
first time,10/04/2015,30/09/2014,,,,,,,,
excited crowds today,30/09/2014,,,,,,,,,
�The people who are crazy enough to think they can change the world are the ones who do.�,26/06/2015,,,,,,,,,
http://t.co/QJTkCuZVdo,30/03/2015,,,,,,,,,
iPhone 6 Plus,19/09/2014,,,,,,,,,
#AppleLive,09/09/2014,,,,,,,,,
crazy,26/06/2015,,,,,,,,,
great work,24/02/2015,,,,,,,,,
#HB1228,27/03/2015,,,,,,,,,
coletteparis,30/09/2014,,,,,,,,,
Thrilled,10/04/2015,06/06/2014,02/06/2014,,,,,,,
best,16/02/2015,03/08/2014,06/06/2014,,,,,,,
#Beats,11/06/2014,28/05/2014,,,,,,,,
#WWDC15,08/06/2015,08/06/2015,,,,,,,,
inspires,17/02/2015,19/11/2014,20/09/2014,08/07/2014,29/06/2014,,,,,
Austin,06/06/2014,06/06/2014,,,,,,,,
extra rest,09/03/2015,,,,,,,,,
dangerous,30/03/2015,,,,,,,,,
http://t.co/2Iudkgv8NW,16/10/2014,04/09/2014,,,,,,,,
hope,04/09/2014,,,,,,,,,
amazing team,23/06/2014,23/06/2014,12/06/2014,12/06/2014,,,,,,
http://t.co/XAxKLEQvjg,19/09/2014,,,,,,,,,
great visit,19/09/2014,,,,,,,,,
Amazing,30/09/2014,25/06/2014,,,,,,,,
http://t.co/YTqzbqSGhC,30/09/2014,,,,,,,,,
"""You have to trust in something � your gut destiny life karma whatever.""",05/10/2014,,,,,,,,,
SJ,05/10/2014,05/10/2014,,,,,,,,
innovation,19/11/2014,20/09/2014,08/07/2014,29/06/2014,,,,,,
perseverance,26/06/2015,,,,,,,,,
new law,27/03/2015,,,,,,,,,
racism,21/06/2015,,,,,,,,,
Amazing view,25/06/2014,,,,,,,,,
cue,28/05/2014,,,,,,,,,
Heartbroken,15/05/2015,12/08/2014,,,,,,,,
Europe,06/08/2014,23/06/2014,,,,,,,,
ban,17/06/2014,,,,,,,,,
Madrid,23/06/2014,,,,,,,,,
huge,09/03/2015,06/08/2014,,,,,,,,
Mac Pro,06/06/2014,,,,,,,,,
talented team,09/03/2015,09/03/2015,,,,,,,,
talent,12/08/2014,,,,,,,,,
victory,26/06/2015,,,,,,,,,
small part,27/11/2014,27/11/2014,,,,,,,,
#Yosemite,25/06/2014,,,,,,,,,
freedom,25/05/2015,11/11/2014,25/05/2014,,,,,,,
#IBM,16/07/2014,,,,,,,,,
scholarship,08/06/2015,02/06/2014,,,,,,,,
http://t.co/ZwyWgHFwhO,28/05/2014,,,,,,,,,
Paris,30/09/2014,,,,,,,,,
OneRepublic,09/03/2015,14/06/2014,,,,,,,,
#applepride,29/06/2015,20/09/2014,20/09/2014,,,,,,,
http://t.co/0Rq48p7t7i,16/07/2014,,,,,,,,,
terror,11/01/2015,,,,,,,,,
courage,11/11/2014,03/08/2014,,,,,,,,
laugh,16/10/2014,28/05/2014,,,,,,,,
#MLK,19/01/2015,19/01/2015,,,,,,,,
Celebrating,02/03/2015,19/11/2014,,,,,,,,
14-Oct,16/10/2014,,,,,,,,,
Zhang Fan,23/10/2014,,,,,,,,,
#Apple,16/07/2014,28/05/2014,,,,,,,,
talented,08/06/2015,02/06/2014,,,,,,,,
Excited,28/05/2014,,,,,,,,,
Robin Williams,13/08/2014,12/08/2014,,,,,,,,
winners,08/06/2015,14/06/2014,02/06/2014,,,,,,,
#UnityRally,11/01/2015,11/01/2015,,,,,,,,
Honoring,07/03/2015,19/01/2015,,,,,,,,
IBM,16/07/2014,,,,,,,,,
#HappyNewYear,01/01/2015,01/01/2015,,,,,,,,
fight,25/05/2015,07/03/2015,24/11/2014,,,,,,,
landmark enterprise partnership,16/07/2014,,,,,,,,,
honor,21/06/2015,11/11/2014,,,,,,,,
peace,12/08/2014,09/08/2014,,,,,,,,
celebration,23/04/2015,09/01/2015,,,,,,,,
eradicating racism,21/06/2015,,,,,,,,,
http://t.co/AoiDZH1j9a,13/08/2014,,,,,,,,,
impressed,08/06/2015,,,,,,,,,
progress,17/05/2015,20/04/2015,,,,,,,,
great time,17/06/2015,17/06/2015,,,,,,,,
http://t.co/SIyZVAeznL,22/04/2015,,,,,,,,,
eradicating,21/06/2015,,,,,,,,,
drdre,15/08/2014,,,,,,,,,
#justdoit,17/06/2014,,,,,,,,,
http://t.co/TP38dRIAz8,25/06/2014,,,,,,,,,
valuing security,03/01/2015,,,,,,,,,
courageous men,25/05/2015,,,,,,,,,
CTurlington,27/04/2015,23/04/2015,,,,,,,,
WholeFoods,03/01/2015,,,,,,,,,
friends,29/06/2015,11/01/2015,,,,,,,,
http://t.co/QzjaL8hExI,24/11/2014,,,,,,,,,
Staples,03/01/2015,,,,,,,,,
dignity,17/06/2014,,,,,,,,,
Apple Store,12/06/2014,,,,,,,,,
year march,17/02/2015,,,,,,,,,
#ENDA,17/06/2014,,,,,,,,,
http://t.co/5BVStOF1a4,29/08/2014,,,,,,,,,
ago today,29/08/2014,,,,,,,,,
Congratulations,17/05/2015,25/01/2015,23/01/2015,02/11/2014,23/06/2014,12/06/2014,,,,
http://t.co/5LcCOFIVgC,06/06/2014,,,,,,,,,
victim,21/06/2015,,,,,,,,,
#CEI2015,19/11/2014,,,,,,,,,
talented student scholarship winners,08/06/2015,,,,,,,,,
tragic,26/04/2015,,,,,,,,,
Starting Something,24/01/2015,,,,,,,,,
Timeless words,19/01/2015,,,,,,,,,
watching football,01/01/2015,,,,,,,,,
Happy Holidays,16/12/2014,16/12/2014,,,,,,,,
human dignity,17/06/2014,,,,,,,,,
http://t.co/w7IWKAfEDP,08/07/2014,,,,,,,,,
http://t.co/qECVlXlYQZ,01/08/2014,,,,,,,,,
excited,30/09/2014,,,,,,,,,
http://t.co/4DncX8F6fO,29/06/2014,,,,,,,,,
innovative glass makers,23/02/2015,,,,,,,,,
http://t.co/ngqL0bym8y,19/01/2015,,,,,,,,,
Palo Alto,19/09/2014,,,,,,,,,
http://t.co/EfPpaBXX3O,17/10/2014,,,,,,,,,
meeting customers,17/06/2015,,,,,,,,,
innovative,23/02/2015,,,,,,,,,
#4thofJuly,04/07/2014,,,,,,,,,
http://t.co/Mx3M0DO4Qf,10/04/2015,,,,,,,,,
war gro�artig,25/02/2015,,,,,,,,,
#WWDC,02/06/2014,,,,,,,,,
trust,05/10/2014,,,,,,,,,
#PresidentsDay,16/02/2015,,,,,,,,,
#LGBT,17/06/2014,,,,,,,,,
Grateful,27/11/2014,,,,,,,,,
http://t.co/mgP8TEWlcA,08/04/2015,,,,,,,,,
Enjoying,25/06/2014,,,,,,,,,
WhiteHouse,17/06/2014,,,,,,,,,
http://t.co/LN1ZXmCqGf,08/06/2015,,,,,,,,,
http://t.co/J0HL5KEBLS,02/03/2015,,,,,,,,,
http://t.co/fTaMKzMi9o,06/06/2014,,,,,,,,,
http://t.co/iIHRXEwpfA,22/04/2015,20/04/2015,,,,,,,,
American manufacturing expertise,06/06/2014,,,,,,,,,
popular,19/01/2015,,,,,,,,,
Sol,23/06/2014,,,,,,,,,
#HappyThanksgiving,27/11/2014,27/11/2014,,,,,,,,
Peace,13/08/2014,,,,,,,,,
Great progress,17/05/2015,,,,,,,,,
Martin Luther King,19/01/2015,29/08/2014,,,,,,,,
talented people,23/10/2014,23/10/2014,,,,,,,,
attended today,29/06/2014,,,,,,,,,
breathtaking photos,02/03/2015,,,,,,,,,
http://t.co/QFr0GNV9FS,23/06/2014,,,,,,,,,
Honored,17/02/2015,21/08/2014,,,,,,,,
Nepal,26/04/2015,,,,,,,,,
expertise,06/06/2014,,,,,,,,,
http://t.co/ALo5d3SiSZ,23/10/2014,,,,,,,,,
http://t.co/UT2zxbCBW9,23/04/2015,,,,,,,,,
equality today,07/03/2015,,,,,,,,,
applaud,17/06/2014,,,,,,,,,
great human,12/08/2014,,,,,,,,,
http://t.co/bZVe3dIGL0,23/02/2015,,,,,,,,,
http://t.co/2A9YD9z95B,29/06/2015,,,,,,,,,
Abraham Lincoln,16/02/2015,,,,,,,,,
enterprising,10/12/2014,,,,,,,,,
http://t.co/yc53yLofoA,15/08/2014,,,,,,,,,
incomparable talent,12/08/2014,,,,,,,,,
�Our lives begin to end the day we become silent about things that matter.�,19/01/2015,,,,,,,,,
latest,20/04/2015,,,,,,,,,
#NativeSummerTour,14/06/2014,,,,,,,,,
achieving,29/08/2014,,,,,,,,,
Proud,02/12/2014,,,,,,,,,
AppleCare team,06/06/2014,,,,,,,,,
app store revenue,05/08/2014,,,,,,,,,
incredibly impressed,08/06/2015,,,,,,,,,
Fifth Avenue,08/04/2015,,,,,,,,,
giant panels,23/02/2015,,,,,,,,,
#prayforpeace,09/08/2014,09/08/2014,,,,,,,,
Very excited,17/10/2014,,,,,,,,,
personal record,27/04/2015,,,,,,,,,
http://t.co/SvZhQG6EKp,19/10/2014,,,,,,,,,
Apple - Business - Mobile,10/12/2014,,,,,,,,,
http://t.co/pSJVp0ynxM,04/07/2014,,,,,,,,,
student scholarship program,02/06/2014,,,,,,,,,
Tokyo,13/06/2014,12/06/2014,,,,,,,,
Best,23/04/2015,,,,,,,,,
Hope,24/04/2015,,,,,,,,,
earthquake,26/04/2015,,,,,,,,,
talented developers,02/06/2014,,,,,,,,,
http://t.co/WBpwa17IXt,08/12/2014,,,,,,,,,
never be,15/05/2015,,,,,,,,,
Running errands,03/01/2015,,,,,,,,,
#CWNYC,22/09/2014,,,,,,,,,
so many,13/06/2014,,,,,,,,,
https://t.co/CE6QJUnoQk,24/04/2015,,,,,,,,,
#HourofCode,08/12/2014,,,,,,,,,
powerful,03/08/2014,,,,,,,,,
RepAnnaEshoo,21/08/2014,,,,,,,,,
#IceBucketChallenge,15/08/2014,,,,,,,,,
Founding Fathers vision,10/12/2014,,,,,,,,,
Great,17/05/2015,,,,,,,,,
simplicity,03/01/2015,,,,,,,,,
http://t.co/7AOGyCSW9i,17/06/2015,,,,,,,,,
http://t.co/43pHDyg8iK,25/02/2015,,,,,,,,,
101st store,23/06/2014,,,,,,,,,
now using,21/08/2014,,,,,,,,,
Inspired,27/10/2014,,,,,,,,,
great cause,15/04/2015,,,,,,,,,
wins,25/01/2015,,,,,,,,,
https://t.co/InCGWKHT0Z,09/01/2015,,,,,,,,,
Georgetown,01/12/2014,,,,,,,,,
"""we hold these truths to be self evident that all men are created equal""",10/12/2014,,,,,,,,,
#AppsforRED,02/12/2014,24/11/2014,,,,,,,,
Huge win,02/11/2014,,,,,,,,,
Whole Foods,17/11/2014,,,,,,,,,
record-breaking year,08/01/2015,,,,,,,,,
breathtaking,02/03/2015,,,,,,,,,
"""The best way to predict the future is to create it.""",16/02/2015,,,,,,,,,
YouTube,08/07/2014,,,,,,,,,
LondonMarathon,27/04/2015,23/04/2015,,,,,,,,
thrill,15/05/2015,,,,,,,,,
debdugan,02/12/2014,,,,,,,,,
inspiring,25/01/2015,,,,,,,,,
#HumanRightsDay,10/12/2014,,,,,,,,,
#MemorialDay,25/05/2015,,,,,,,,,
luck,23/04/2015,,,,,,,,,
http://t.co/vblxDgpSZm,30/04/2015,,,,,,,,,
MARCHTrilogy,17/02/2015,,,,,,,,,
RED today,01/12/2014,,,,,,,,,
CoachGusMalzahn,02/11/2014,,,,,,,,,
inspired,11/11/2014,,,,,,,,,
Awe-inspiring,14/06/2014,,,,,,,,,
tim_cook,02/12/2014,14/06/2014,,,,,,,,
#AppleStoreWestLake,24/01/2015,,,,,,,,,
#Selma50,07/03/2015,,,,,,,,,
Pontifex,09/08/2014,,,,,,,,,
early highlight,23/10/2014,,,,,,,,,
Lord,09/08/2014,,,,,,,,,
beautiful,13/06/2014,,,,,,,,,
amazing developer community,05/08/2014,,,,,,,,,
http://t.co/AzKjttCk93,06/08/2014,,,,,,,,,
safe,19/01/2015,,,,,,,,,
http://t.co/9HS86MlZTH,18/04/2015,,,,,,,,,
https://t.co/n9SqC5vBEQ,03/08/2014,,,,,,,,,
relief effort,26/04/2015,,,,,,,,,
#ThankYouApple,02/12/2014,,,,,,,,,
http://t.co/WTsQT0yAD4,27/10/2014,,,,,,,,,
http://t.co/I5ye7OdIDi,17/02/2015,,,,,,,,,
EveryMomCounts,23/04/2015,,,,,,,,,
violence,09/08/2014,,,,,,,,,
attack,11/01/2015,,,,,,,,,
VAPaloAlto,21/08/2014,,,,,,,,,
stunning,12/06/2014,,,,,,,,,
quality,30/04/2015,,,,,,,,,
http://t.co/8L5gVKfLjn,24/01/2015,,,,,,,,,
http://t.co/qLJa2yTqAw,11/06/2014,,,,,,,,,
save,24/11/2014,,,,,,,,,
mobile recording studio,14/06/2014,,,,,,,,,
#climatechange,22/09/2014,,,,,,,,,
Happy,04/07/2014,,,,,,,,,
#iPadAir2,17/10/2014,,,,,,,,,
using iPads,21/08/2014,,,,,,,,,
truths,10/12/2014,,,,,,,,,
https://t.co/QAMrQH8454,03/08/2014,,,,,,,,,
action yesterday,06/06/2014,,,,,,,,,
michaelfranti,15/08/2014,,,,,,,,,
#ApplePay,03/01/2015,,,,,,,,,
http://t.co/BI8wFTTG5V,05/08/2014,,,,,,,,,
http://t.co/6YH45414YQ,17/06/2014,,,,,,,,,
Walgreens,03/01/2015,,,,,,,,,
record-setting month,05/08/2014,,,,,,,,,
new initiative,30/04/2015,,,,,,,,,
perfectly,11/06/2014,,,,,,,,,
#Coach1K,25/01/2015,,,,,,,,,
#iPhone,14/06/2014,,,,,,,,,
Boston,17/06/2015,,,,,,,,,
many customers,10/04/2015,,,,,,,,,
dukeblueplanet,25/01/2015,,,,,,,,,
#BBKing,15/05/2015,,,,,,,,,
great company,23/01/2015,23/01/2015,,,,,,,,
#WorldAIDSDay,02/12/2014,01/12/2014,,,,,,,,
enjoy,24/04/2015,,,,,,,,,
courageous,25/05/2015,,,,,,,,,
#WarEagle,02/11/2014,,,,,,,,,
honoring,25/05/2015,,,,,,,,,
#Auburn,02/11/2014,,,,,,,,,
http://t.co/Uzat5FNAHN,17/11/2014,,,,,,,,,
http://t.co/kixtaYdVFQ,14/06/2014,,,,,,,,,
#World,11/06/2014,,,,,,,,,
RFKHumanRights,15/04/2015,,,,,,,,,
OneRepublic https,03/08/2014,,,,,,,,,
http://t.co/yNv6PfpGJN,20/04/2015,,,,,,,,,
Nike,17/06/2014,,,,,,,,,
http://t.co/7WY97Rb0ej,16/12/2014,,,,,,,,,
http://t.co/2uVvc9vHnT,02/06/2014,,,,,,,,,
Store Boylston St,17/06/2015,,,,,,,,,
Pharrell,23/04/2015,,,,,,,,,
http://t.co/1qYjEy5klq,27/04/2015,,,,,,,,,
RepJohnLewis,17/02/2015,,,,,,,,,
valuing,03/01/2015,,,,,,,,,
France,11/01/2015,,,,,,,,,
busses,14/06/2014,,,,,,,,,
#AppStore,26/04/2015,,,,,,,,,
self evident,10/12/2014,,,,,,,,,
beauty,25/06/2014,,,,,,,,,
improve,30/04/2015,,,,,,,,,
security,03/01/2015,,,,,,,,,
#iTunes,26/04/2015,,,,,,,,,
dedicated customers,13/06/2014,,,,,,,,,
incredible day,13/06/2014,,,,,,,,,
enterprising apps,10/12/2014,,,,,,,,,
Enjoy,17/06/2015,,,,,,,,,
http://t.co/kQeHQVCGou,08/01/2015,,,,,,,,,
win,02/11/2014,,,,,,,,,
neither safe,19/01/2015,,,,,,,,,
http://t.co/VvlLRgPZFc,23/04/2015,,,,,,,,,
Huge,02/11/2014,,,,,,,,,
https://t.co/QxaKne4itb,15/04/2015,,,,,,,,,
RED,01/12/2014,,,,,,,,,
#MLK:There,19/01/2015,,,,,,,,,
incredible,13/06/2014,,,,,,,,,
http://t.co/vXFs80nNwy,10/12/2014,,,,,,,,,
#GWCommencement,17/05/2015,,,,,,,,,
APPLE,14/06/2014,,,,,,,,,
amazing work,09/01/2015,,,,,,,,,
levie,23/01/2015,,,,,,,,,
cheering,23/04/2015,,,,,,,,,
new campus,06/06/2014,,,,,,,,,
renewable energy,20/04/2015,,,,,,,,,
#AustinPride,20/09/2014,,,,,,,,,
http://t.co/yZMo7JlGGm,12/06/2014,,,,,,,,,
http://t.co/lOZwDT8KZu,21/08/2014,,,,,,,,,
dukebasketball,25/01/2015,,,,,,,,,
CEO,01/12/2014,,,,,,,,,
tragic earthquake,26/04/2015,,,,,,,,,
be amazed,14/06/2014,,,,,,,,,
unforgettable,23/04/2015,,,,,,,,,
AngelaAhrendts,13/06/2014,,,,,,,,,
record-breaking,08/01/2015,,,,,,,,,
proud,08/01/2015,,,,,,,,,
huge impact,06/08/2014,,,,,,,,,
